[train] Loaded 50000 real images  |  batches: 390
[valid] Loaded 10000 real images  |  batches: 79
[test] Loaded 10000 real images  |  batches: 79
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
  Step 1/5 | Epoch 196/300 | alpha: 1.00 | D loss: 0.0418 | G loss: 11.1311
  Step 1/5 | Epoch 197/300 | alpha: 1.00 | D loss: 0.0427 | G loss: 11.0833
  Step 1/5 | Epoch 198/300 | alpha: 1.00 | D loss: 0.0429 | G loss: 10.8524
  Step 1/5 | Epoch 199/300 | alpha: 1.00 | D loss: 0.0440 | G loss: 10.9777
  Step 1/5 | Epoch 200/300 | alpha: 1.00 | D loss: 0.0422 | G loss: 11.1489
  Step 1/5 | Epoch 201/300 | alpha: 1.00 | D loss: 0.0440 | G loss: 11.0155
  Step 1/5 | Epoch 202/300 | alpha: 1.00 | D loss: 0.0380 | G loss: 10.9625
  Step 1/5 | Epoch 203/300 | alpha: 1.00 | D loss: 0.0392 | G loss: 10.8252
  Step 1/5 | Epoch 204/300 | alpha: 1.00 | D loss: 0.0392 | G loss: 10.7155
  Step 1/5 | Epoch 205/300 | alpha: 1.00 | D loss: 0.0392 | G loss: 10.7003
  Step 1/5 | Epoch 206/300 | alpha: 1.00 | D loss: 0.0381 | G loss: 10.4510
  Step 1/5 | Epoch 207/300 | alpha: 1.00 | D loss: 0.0374 | G loss: 10.4991
  Step 1/5 | Epoch 208/300 | alpha: 1.00 | D loss: 0.0386 | G loss: 10.4174
  Step 1/5 | Epoch 209/300 | alpha: 1.00 | D loss: 0.0379 | G loss: 10.4489
  Step 1/5 | Epoch 210/300 | alpha: 1.00 | D loss: 0.0411 | G loss: 10.4766
  Step 1/5 | Epoch 211/300 | alpha: 1.00 | D loss: 0.0397 | G loss: 10.4526
  Step 1/5 | Epoch 212/300 | alpha: 1.00 | D loss: 0.0407 | G loss: 10.4926
  Step 1/5 | Epoch 213/300 | alpha: 1.00 | D loss: 0.0406 | G loss: 10.5530
  Step 1/5 | Epoch 214/300 | alpha: 1.00 | D loss: 0.0410 | G loss: 10.3694
  Step 1/5 | Epoch 215/300 | alpha: 1.00 | D loss: 0.0409 | G loss: 10.1720
  Step 1/5 | Epoch 216/300 | alpha: 1.00 | D loss: 0.0405 | G loss: 10.2014
  Step 1/5 | Epoch 217/300 | alpha: 1.00 | D loss: 0.0405 | G loss: 10.2176
  Step 1/5 | Epoch 218/300 | alpha: 1.00 | D loss: 0.0388 | G loss: 10.3422
  Step 1/5 | Epoch 219/300 | alpha: 1.00 | D loss: 0.0395 | G loss: 10.2108
  Step 1/5 | Epoch 220/300 | alpha: 1.00 | D loss: 0.0365 | G loss: 10.3908
  Step 1/5 | Epoch 221/300 | alpha: 1.00 | D loss: 0.0389 | G loss: 10.2774
  Step 1/5 | Epoch 222/300 | alpha: 1.00 | D loss: 0.0368 | G loss: 10.2499
  Step 1/5 | Epoch 223/300 | alpha: 1.00 | D loss: 0.0385 | G loss: 10.2781
  Step 1/5 | Epoch 224/300 | alpha: 1.00 | D loss: 0.0370 | G loss: 10.4634
  Step 1/5 | Epoch 225/300 | alpha: 1.00 | D loss: 0.0346 | G loss: 10.3003
  Step 1/5 | Epoch 226/300 | alpha: 1.00 | D loss: 0.0344 | G loss: 10.2386
  Step 1/5 | Epoch 227/300 | alpha: 1.00 | D loss: 0.0348 | G loss: 10.3011
  Step 1/5 | Epoch 228/300 | alpha: 1.00 | D loss: 0.0363 | G loss: 10.0120
  Step 1/5 | Epoch 229/300 | alpha: 1.00 | D loss: 0.0340 | G loss: 10.0365
  Step 1/5 | Epoch 230/300 | alpha: 1.00 | D loss: 0.0354 | G loss: 9.9444
  Step 1/5 | Epoch 231/300 | alpha: 1.00 | D loss: 0.0350 | G loss: 9.9334
  Step 1/5 | Epoch 232/300 | alpha: 1.00 | D loss: 0.0338 | G loss: 10.0194
  Step 1/5 | Epoch 233/300 | alpha: 1.00 | D loss: 0.0339 | G loss: 9.9324
  Step 1/5 | Epoch 234/300 | alpha: 1.00 | D loss: 0.0318 | G loss: 9.9069
  Step 1/5 | Epoch 235/300 | alpha: 1.00 | D loss: 0.0338 | G loss: 9.8569
  Step 1/5 | Epoch 236/300 | alpha: 1.00 | D loss: 0.0322 | G loss: 9.8749
  Step 1/5 | Epoch 237/300 | alpha: 1.00 | D loss: 0.0325 | G loss: 9.7079
  Step 1/5 | Epoch 238/300 | alpha: 1.00 | D loss: 0.0313 | G loss: 9.7348
  Step 1/5 | Epoch 239/300 | alpha: 1.00 | D loss: 0.0323 | G loss: 9.7666
  Step 1/5 | Epoch 240/300 | alpha: 1.00 | D loss: 0.0298 | G loss: 9.7313
  Step 1/5 | Epoch 241/300 | alpha: 1.00 | D loss: 0.0307 | G loss: 9.6789
  Step 1/5 | Epoch 242/300 | alpha: 1.00 | D loss: 0.0301 | G loss: 9.6616
  Step 1/5 | Epoch 243/300 | alpha: 1.00 | D loss: 0.0294 | G loss: 9.7001
  Step 1/5 | Epoch 244/300 | alpha: 1.00 | D loss: 0.0291 | G loss: 9.6683
  Step 1/5 | Epoch 245/300 | alpha: 1.00 | D loss: 0.0271 | G loss: 9.6046
  Step 1/5 | Epoch 246/300 | alpha: 1.00 | D loss: 0.0297 | G loss: 9.4415
  Step 1/5 | Epoch 247/300 | alpha: 1.00 | D loss: 0.0290 | G loss: 9.5833
  Step 1/5 | Epoch 248/300 | alpha: 1.00 | D loss: 0.0275 | G loss: 9.5429
  Step 1/5 | Epoch 249/300 | alpha: 1.00 | D loss: 0.0279 | G loss: 9.5254
  Step 1/5 | Epoch 250/300 | alpha: 1.00 | D loss: 0.0289 | G loss: 9.6200
  Step 1/5 | Epoch 251/300 | alpha: 1.00 | D loss: 0.0282 | G loss: 9.6469
  Step 1/5 | Epoch 252/300 | alpha: 1.00 | D loss: 0.0288 | G loss: 9.6344
  Step 1/5 | Epoch 253/300 | alpha: 1.00 | D loss: 0.0274 | G loss: 9.6763
  Step 1/5 | Epoch 254/300 | alpha: 1.00 | D loss: 0.0285 | G loss: 9.5721
  Step 1/5 | Epoch 255/300 | alpha: 1.00 | D loss: 0.0294 | G loss: 9.5303
  Step 1/5 | Epoch 256/300 | alpha: 1.00 | D loss: 0.0285 | G loss: 9.6049
  Step 1/5 | Epoch 257/300 | alpha: 1.00 | D loss: 0.0296 | G loss: 9.6352
  Step 1/5 | Epoch 258/300 | alpha: 1.00 | D loss: 0.0277 | G loss: 9.5464
  Step 1/5 | Epoch 259/300 | alpha: 1.00 | D loss: 0.0279 | G loss: 9.4527
  Step 1/5 | Epoch 260/300 | alpha: 1.00 | D loss: 0.0273 | G loss: 9.3362
  Step 1/5 | Epoch 261/300 | alpha: 1.00 | D loss: 0.0269 | G loss: 9.3416
  Step 1/5 | Epoch 262/300 | alpha: 1.00 | D loss: 0.0292 | G loss: 9.2951
