[train] Loaded 50000 real images  |  batches: 390
[valid] Loaded 10000 real images  |  batches: 79
[test] Loaded 10000 real images  |  batches: 79
Cached 10000 real images for FID -> output/fid_cache/valid_real_128
/usr/local/lib/python3.12/dist-packages/torch/autograd/graph.py:824: UserWarning: Attempting to run cuBLAS, but there was no current CUDA context! Attempting to set the primary context... (Triggered internally at /pytorch/aten/src/ATen/cuda/CublasHandlePool.cpp:181.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
  Step 1/6 | Epoch 125/300 | alpha: 1.00 | D loss: 0.0115 | G loss: 9.3632
  Step 1/6 | Epoch 126/300 | alpha: 1.00 | D loss: 0.0093 | G loss: 9.3837
  Step 1/6 | Epoch 127/300 | alpha: 1.00 | D loss: 0.0127 | G loss: 9.3580
  Step 1/6 | Epoch 128/300 | alpha: 1.00 | D loss: 0.0093 | G loss: 9.3514
  Step 1/6 | Epoch 129/300 | alpha: 1.00 | D loss: 0.0112 | G loss: 9.3325
  Step 1/6 | Epoch 130/300 | alpha: 1.00 | D loss: 0.0135 | G loss: 9.4402
  Step 1/6 | Epoch 131/300 | alpha: 1.00 | D loss: 0.0129 | G loss: 9.4425
  Step 1/6 | Epoch 132/300 | alpha: 1.00 | D loss: 0.0146 | G loss: 9.4541
  Step 1/6 | Epoch 133/300 | alpha: 1.00 | D loss: 0.0124 | G loss: 9.4654
  Step 1/6 | Epoch 134/300 | alpha: 1.00 | D loss: 0.0120 | G loss: 9.4159
  Step 1/6 | Epoch 135/300 | alpha: 1.00 | D loss: 0.0109 | G loss: 9.4469
  Step 1/6 | Epoch 136/300 | alpha: 1.00 | D loss: 0.0133 | G loss: 9.4289
  Step 1/6 | Epoch 137/300 | alpha: 1.00 | D loss: 0.0133 | G loss: 9.4418
  Step 1/6 | Epoch 138/300 | alpha: 1.00 | D loss: 0.0131 | G loss: 9.3293
  Step 1/6 | Epoch 139/300 | alpha: 1.00 | D loss: 0.0131 | G loss: 9.3848
  Step 1/6 | Epoch 140/300 | alpha: 1.00 | D loss: 0.0109 | G loss: 9.3463
  Step 1/6 | Epoch 141/300 | alpha: 1.00 | D loss: 0.0106 | G loss: 9.4408
  Step 1/6 | Epoch 142/300 | alpha: 1.00 | D loss: 0.0128 | G loss: 9.4019
  Step 1/6 | Epoch 143/300 | alpha: 1.00 | D loss: 0.0118 | G loss: 9.3243
  Step 1/6 | Epoch 144/300 | alpha: 1.00 | D loss: 0.0107 | G loss: 9.3763
  Step 1/6 | Epoch 145/300 | alpha: 1.00 | D loss: 0.0095 | G loss: 9.3763
  Step 1/6 | Epoch 146/300 | alpha: 1.00 | D loss: 0.0084 | G loss: 9.3642
  Step 1/6 | Epoch 147/300 | alpha: 1.00 | D loss: 0.0133 | G loss: 9.3477
  Step 1/6 | Epoch 148/300 | alpha: 1.00 | D loss: 0.0120 | G loss: 9.4099
  Step 1/6 | Epoch 149/300 | alpha: 1.00 | D loss: 0.0119 | G loss: 9.4256
  Step 1/6 | Epoch 150/300 | alpha: 1.00 | D loss: 0.0117 | G loss: 9.4958
  Step 1/6 | Epoch 151/300 | alpha: 1.00 | D loss: 0.0143 | G loss: 9.5158
  Step 1/6 | Epoch 152/300 | alpha: 1.00 | D loss: 0.0126 | G loss: 9.5188
  Step 1/6 | Epoch 153/300 | alpha: 1.00 | D loss: 0.0122 | G loss: 9.5093
  Step 1/6 | Epoch 154/300 | alpha: 1.00 | D loss: 0.0108 | G loss: 9.5179
  Step 1/6 | Epoch 155/300 | alpha: 1.00 | D loss: 0.0115 | G loss: 9.5215
  Step 1/6 | Epoch 156/300 | alpha: 1.00 | D loss: 0.0139 | G loss: 9.5540
  Step 1/6 | Epoch 157/300 | alpha: 1.00 | D loss: 0.0114 | G loss: 9.6036
  Step 1/6 | Epoch 158/300 | alpha: 1.00 | D loss: 0.0120 | G loss: 9.6103
  Step 1/6 | Epoch 159/300 | alpha: 1.00 | D loss: 0.0112 | G loss: 9.6772
  Step 1/6 | Epoch 160/300 | alpha: 1.00 | D loss: 0.0138 | G loss: 9.6123
  Step 1/6 | Epoch 161/300 | alpha: 1.00 | D loss: 0.0149 | G loss: 9.5915
  Step 1/6 | Epoch 162/300 | alpha: 1.00 | D loss: 0.0150 | G loss: 9.5511
  Step 1/6 | Epoch 163/300 | alpha: 1.00 | D loss: 0.0163 | G loss: 9.5573
  Step 1/6 | Epoch 164/300 | alpha: 1.00 | D loss: 0.0148 | G loss: 9.5725
  Step 1/6 | Epoch 165/300 | alpha: 1.00 | D loss: 0.0185 | G loss: 9.6729
  Step 1/6 | Epoch 166/300 | alpha: 1.00 | D loss: 0.0192 | G loss: 9.7384
  Step 1/6 | Epoch 167/300 | alpha: 1.00 | D loss: 0.0182 | G loss: 9.7545
  Step 1/6 | Epoch 168/300 | alpha: 1.00 | D loss: 0.0235 | G loss: 9.7525
  Step 1/6 | Epoch 169/300 | alpha: 1.00 | D loss: 0.0202 | G loss: 9.7507
  Step 1/6 | Epoch 170/300 | alpha: 1.00 | D loss: 0.0189 | G loss: 9.6872
  Step 1/6 | Epoch 171/300 | alpha: 1.00 | D loss: 0.0214 | G loss: 9.6933
  Step 1/6 | Epoch 172/300 | alpha: 1.00 | D loss: 0.0192 | G loss: 9.8067
  Step 1/6 | Epoch 173/300 | alpha: 1.00 | D loss: 0.0174 | G loss: 9.9030
  Step 1/6 | Epoch 174/300 | alpha: 1.00 | D loss: 0.0185 | G loss: 9.8718
  Step 1/6 | Epoch 175/300 | alpha: 1.00 | D loss: 0.0217 | G loss: 9.8711
  Step 1/6 | Epoch 176/300 | alpha: 1.00 | D loss: 0.0200 | G loss: 9.9667
  Step 1/6 | Epoch 177/300 | alpha: 1.00 | D loss: 0.0206 | G loss: 9.9879
  Step 1/6 | Epoch 178/300 | alpha: 1.00 | D loss: 0.0158 | G loss: 9.8717
  Step 1/6 | Epoch 179/300 | alpha: 1.00 | D loss: 0.0187 | G loss: 9.9293
  Step 1/6 | Epoch 180/300 | alpha: 1.00 | D loss: 0.0180 | G loss: 9.9925
  Step 1/6 | Epoch 181/300 | alpha: 1.00 | D loss: 0.0169 | G loss: 9.9078
  Step 1/6 | Epoch 182/300 | alpha: 1.00 | D loss: 0.0172 | G loss: 9.8856
  Step 1/6 | Epoch 183/300 | alpha: 1.00 | D loss: 0.0190 | G loss: 9.8229
  Step 1/6 | Epoch 184/300 | alpha: 1.00 | D loss: 0.0197 | G loss: 9.7517
  Step 1/6 | Epoch 185/300 | alpha: 1.00 | D loss: 0.0160 | G loss: 9.7199
  Step 1/6 | Epoch 186/300 | alpha: 1.00 | D loss: 0.0177 | G loss: 9.7737
  Step 1/6 | Epoch 187/300 | alpha: 1.00 | D loss: 0.0189 | G loss: 9.7832
  Step 1/6 | Epoch 188/300 | alpha: 1.00 | D loss: 0.0183 | G loss: 9.8009
  Step 1/6 | Epoch 189/300 | alpha: 1.00 | D loss: 0.0209 | G loss: 9.8013
  Step 1/6 | Epoch 190/300 | alpha: 1.00 | D loss: 0.0200 | G loss: 9.8004
  Step 1/6 | Epoch 191/300 | alpha: 1.00 | D loss: 0.0196 | G loss: 9.6554
  Step 1/6 | Epoch 192/300 | alpha: 1.00 | D loss: 0.0201 | G loss: 9.6769
  Step 1/6 | Epoch 193/300 | alpha: 1.00 | D loss: 0.0207 | G loss: 9.7246
  Step 1/6 | Epoch 194/300 | alpha: 1.00 | D loss: 0.0176 | G loss: 9.7343
  Step 1/6 | Epoch 195/300 | alpha: 1.00 | D loss: 0.0194 | G loss: 9.6769
  Step 1/6 | Epoch 196/300 | alpha: 1.00 | D loss: 0.0167 | G loss: 9.6718
  Step 1/6 | Epoch 197/300 | alpha: 1.00 | D loss: 0.0173 | G loss: 9.6272
  Step 1/6 | Epoch 198/300 | alpha: 1.00 | D loss: 0.0178 | G loss: 9.5747
  Step 1/6 | Epoch 199/300 | alpha: 1.00 | D loss: 0.0185 | G loss: 9.5558
  Step 1/6 | Epoch 200/300 | alpha: 1.00 | D loss: 0.0194 | G loss: 9.4790
  Step 1/6 | Epoch 201/300 | alpha: 1.00 | D loss: 0.0175 | G loss: 9.4982
  Step 1/6 | Epoch 202/300 | alpha: 1.00 | D loss: 0.0156 | G loss: 9.5698
  Step 1/6 | Epoch 203/300 | alpha: 1.00 | D loss: 0.0183 | G loss: 9.5403
  Step 1/6 | Epoch 204/300 | alpha: 1.00 | D loss: 0.0172 | G loss: 9.5093
  Step 1/6 | Epoch 205/300 | alpha: 1.00 | D loss: 0.0186 | G loss: 9.5386
  Step 1/6 | Epoch 206/300 | alpha: 1.00 | D loss: 0.0174 | G loss: 9.6101
  Step 1/6 | Epoch 207/300 | alpha: 1.00 | D loss: 0.0183 | G loss: 9.5495
  Step 1/6 | Epoch 208/300 | alpha: 1.00 | D loss: 0.0185 | G loss: 9.6232
  Step 1/6 | Epoch 209/300 | alpha: 1.00 | D loss: 0.0185 | G loss: 9.5443
  Step 1/6 | Epoch 210/300 | alpha: 1.00 | D loss: 0.0198 | G loss: 9.5644
  Step 1/6 | Epoch 211/300 | alpha: 1.00 | D loss: 0.0172 | G loss: 9.4956
  Step 1/6 | Epoch 212/300 | alpha: 1.00 | D loss: 0.0201 | G loss: 9.5589
  Step 1/6 | Epoch 213/300 | alpha: 1.00 | D loss: 0.0161 | G loss: 9.6671
  Step 1/6 | Epoch 214/300 | alpha: 1.00 | D loss: 0.0181 | G loss: 9.5297
  Step 1/6 | Epoch 215/300 | alpha: 1.00 | D loss: 0.0168 | G loss: 9.5388
  Step 1/6 | Epoch 216/300 | alpha: 1.00 | D loss: 0.0174 | G loss: 9.5376
  Step 1/6 | Epoch 217/300 | alpha: 1.00 | D loss: 0.0150 | G loss: 9.5397
